Species,SpecCode,Genus,Author,FBname,DemersPelag,Subfamily,DepthRangeShallow,DepthRangeDeep,DepthRangeComShallow,DepthRangeComDeep,Length,CommonLength,Weight,Northernmost,NorthSouthN,Southermost,NorthSouthS,Westernmost,WestEastW,Easternmost,WestEastE,TempMin,TempMax
Acanthaluteres spilomelanurus,51356,Acanthaluteres,"(Quoy & Gaimard, 1824)",Bridled leatherjacket,demersal,NA,NA,NA,NA,NA,14,NA,NA,25,S,45,S,113,E,159,E,NA,NA
Acanthaluteres vittiger,14550,Acanthaluteres,"(Castelnau, 1873)",Toothbrush leatherjacket,demersal,NA,1,40,NA,NA,35,NA,NA,30,S,44,S,110,E,160,E,NA,NA
Acanthaphritis barbata,12559,Acanthaphritis,"(Okamura & Kishida, 1963)",NA,demersal,NA,NA,NA,NA,NA,10,NA,NA,26,N,33,S,119,E,155,E,NA,NA
Acanthaphritis unoorum,59263,Acanthaphritis,"Suzuki & Nakabo, 1996",NA,demersal,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthemblemaria aspera,3708,Acanthemblemaria,"(Longley, 1927)",Roughhead blenny,reef-associated,NA,NA,NA,NA,NA,4,NA,NA,20,N,10,N,90,W,58,W,NA,NA
Acanthemblemaria balanorum,46703,Acanthemblemaria,"Brock, 1940",Clubhead blenny,reef-associated,NA,1,5,NA,NA,5.190000057220459,NA,NA,26,N,16,N,112,W,100,W,NA,NA
Acanthemblemaria betinensis,47263,Acanthemblemaria,"Smith-Vaniz & Palacio, 1974",Speckled blenny,reef-associated,NA,NA,NA,NA,NA,4.300000190734863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthemblemaria castroi,25510,Acanthemblemaria,"Stephens & Hobson, 1966",Galapagos barnacle blenny,reef-associated,NA,1,23,6,12,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthemblemaria chaplini,3709,Acanthemblemaria,"Böhlke, 1957",Papillose blenny,demersal,NA,2,12,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthemblemaria crockeri,46704,Acanthemblemaria,"Beebe & Tee-Van, 1938",Browncheek blenny,reef-associated,NA,1,60,NA,NA,6,NA,NA,30,N,14,N,115,W,98,W,NA,NA
Acanthemblemaria exilispinus,46709,Acanthemblemaria,"Stephens, 1963",Bluntspine blenny,reef-associated,NA,1,5,NA,NA,5.5,NA,NA,11,N,4,N,87,W,76,W,NA,NA
Acanthemblemaria greenfieldi,47265,Acanthemblemaria,"Smith-Vaniz & Palacio, 1974",False papillose blenny,reef-associated,NA,NA,NA,NA,NA,3.5999999046325684,NA,NA,17,N,14,N,90,W,86,W,NA,NA
Acanthemblemaria hancocki,46714,Acanthemblemaria,"Myers & Reid, 1936",Hancock's blenny,reef-associated,NA,1,5,NA,NA,4.5,NA,NA,24,N,5,N,113,W,76,W,NA,NA
Acanthemblemaria macrospilus,46717,Acanthemblemaria,"Brock, 1940",Barnacle blenny,reef-associated,NA,2,15,NA,NA,6,NA,NA,29,N,4,N,112,W,85,W,NA,NA
Acanthemblemaria maria,16485,Acanthemblemaria,"Böhlke, 1961",Secretary blenny,reef-associated,NA,NA,NA,NA,NA,5.099999904632568,NA,NA,18,N,10,N,90,W,58,W,NA,NA
Acanthemblemaria medusa,27905,Acanthemblemaria,"Smith-Vaniz & Palacio, 1974",Medusa blenny,reef-associated,NA,NA,NA,NA,NA,4,NA,NA,12,N,10,N,62,W,58,W,NA,NA
Acanthemblemaria paula,54806,Acanthemblemaria,"Johnson & Brothers, 1989",Dwarf spinyhead blenny,reef-associated,NA,1,2,NA,NA,1.7999999523162842,NA,NA,18,N,15,N,90,W,86,W,NA,NA
Acanthemblemaria rivasi,47268,Acanthemblemaria,"Stephens, 1970",Spotjaw blenny,reef-associated,NA,NA,NA,NA,NA,3,NA,NA,11,N,7,N,80,W,76,W,NA,NA
Acanthemblemaria spinosa,16486,Acanthemblemaria,"Metzelaar, 1919",Spinyhead blenny,reef-associated,NA,1,12,NA,NA,3.0999999046325684,NA,NA,20,N,7,N,177,W,58,W,NA,NA
Acanthistius brasilianus,351,Acanthistius,"(Cuvier, 1828)",Argentine seabass,benthopelagic,NA,15,82,NA,NA,60,NA,NA,13,S,53,S,67,W,40,W,NA,NA
Acanthistius cinctus,12690,Acanthistius,"(Günther, 1859)",Yellowbanded perch,reef-associated,NA,30,NA,NA,NA,50,NA,NA,27,S,34,S,115,E,170,E,NA,NA
Acanthistius joanae,65330,Acanthistius,"Heemstra, 2010",Scalyjaw koester,pelagic-neritic,NA,23,140,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthistius ocellatus,15036,Acanthistius,"(Günther, 1859)",Eastern wirrah,reef-associated,NA,NA,NA,NA,NA,45,NA,NA,25,S,39,S,147,E,161,E,NA,NA
Acanthistius patachonicus,50141,Acanthistius,"(Jenyns, 1840)",NA,demersal,NA,NA,NA,NA,NA,31,NA,NA,39,S,48,S,NA,NA,NA,NA,NA,NA
Acanthistius pictus,57960,Acanthistius,"(Tschudi, 1846)",Brick seabass,reef-associated,NA,NA,NA,NA,NA,47,20,1862,20,N,26,S,112,W,68,W,NA,NA
Acanthistius serratus,15042,Acanthistius,"(Cuvier, 1828)",Western wirrah,reef-associated,NA,NA,NA,NA,NA,50,NA,NA,28,S,39,S,112,E,155,E,NA,NA
Acanthocepola abbreviata,10354,Acanthocepola,"(Valenciennes, 1835)",Bandfish,benthopelagic,Cepolinae,10,80,NA,NA,30,NA,NA,31,N,29,S,47,E,155,E,NA,NA
Acanthocepola indica,9216,Acanthocepola,"(Day, 1888)",NA,benthopelagic,Cepolinae,50,100,NA,NA,55,NA,NA,36,N,36,N,20,E,141,E,NA,NA
Acanthocepola krusensternii,9215,Acanthocepola,"(Temminck & Schlegel, 1845)",Red-spotted bandfish,demersal,Cepolinae,3,50,NA,NA,40,NA,NA,37,N,10,N,119,E,141,E,NA,NA
Acanthocepola limbata,9214,Acanthocepola,"(Valenciennes, 1835)",Blackspot bandfish,demersal,Cepolinae,80,100,NA,NA,50,NA,NA,26,N,20,S,72,E,149,E,NA,NA
Acanthochaenus luetkenii,9046,Acanthochaenus,"Gill, 1884",Pricklefish,benthopelagic,NA,1655,5397,NA,NA,15.199999809265137,NA,NA,40,N,57,S,77,W,164,W,NA,NA
Acanthochromis polyacanthus,6655,Acanthochromis,"(Bleeker, 1855)",Spiny chromis,reef-associated,Pomacentrinae,1,65,4,20,16,NA,NA,15,N,26,S,116,E,169,E,NA,NA
Acanthoclinus fuscus,12865,Acanthoclinus,"Jenyns, 1841",Rockfish,demersal,Acanthoclininae,0,4,NA,NA,30,NA,NA,34,S,44,S,172,E,176,E,NA,NA
Acanthocybium solandri,89,Acanthocybium,"(Cuvier, 1832)",Wahoo,pelagic-oceanic,Scombrinae,0,20,0,12,250,170,83000,59,N,48,S,180,W,180,E,NA,NA
Acanthodraco dewitti,54894,Acanthodraco,"Skóra, 1995",NA,bathydemersal,Gymnodraconinae,NA,255,NA,NA,NA,NA,NA,NA,NA,72,S,NA,NA,NA,NA,NA,NA
Acanthogobius flavimanus,3832,Acanthogobius,"(Temminck & Schlegel, 1845)",Yellowfin goby,demersal,Gobionellinae,1,6,NA,NA,30,14.5,NA,52,N,23,N,116,E,143,E,NA,NA
Acanthogobius hasta,13045,Acanthogobius,"(Temminck & Schlegel, 1845)",NA,demersal,Gobionellinae,NA,NA,NA,NA,50,NA,400,38,N,22,N,118,E,122,E,NA,NA
Acanthogobius insularis,67376,Acanthogobius,"Shibukawa & Taki, 1996",NA,pelagic-neritic,Gobionellinae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthogobius lactipes,23696,Acanthogobius,"(Hilgendorf, 1879)",NA,demersal,Gobionellinae,NA,NA,NA,NA,9.399999618530273,NA,NA,53,N,34,N,116,E,143,E,NA,NA
Acanthogobius luridus,55485,Acanthogobius,"Ni & Wu, 1985",NA,demersal,Gobionellinae,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthogobius stigmothonus,69021,Acanthogobius,"(Richardson, 1845)",NA,demersal,Gobionellinae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acantholabrus palloni,7633,Acantholabrus,"(Risso, 1810)",Scale-rayed wrasse,reef-associated,NA,30,500,NA,NA,25,NA,NA,62,N,1,S,32,W,11,E,NA,NA
Acantholiparis opercularis,25262,Acantholiparis,"Gilbert & Burke, 1912",Spiny snailfish,bathydemersal,NA,227,3610,NA,NA,6.900000095367432,NA,NA,55,N,42,N,157,E,124,W,NA,NA
Acantholumpenus mackayi,3771,Acantholumpenus,"(Gilbert, 1896)",Pighead prickleback,demersal,NA,0,200,NA,NA,70,NA,NA,70,n,44,n,134,e,120,w,NA,NA
Acanthonus armatus,8943,Acanthonus,"Günther, 1878",Bony-eared assfish,bathypelagic,Neobythitinae,1171,4415,NA,NA,37.5,NA,NA,36,N,23,S,81,W,154,E,NA,NA
Acanthopagrus arabicus,67314,Acanthopagrus,"Iwatsuki, 2013",Arabian yellowfin seabream,pelagic-neritic,NA,NA,50,NA,NA,34.5,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthopagrus australis,8109,Acanthopagrus,"(Günther, 1859)",Yellowfin bream,demersal,NA,NA,NA,NA,NA,66,NA,4500,19,S,38,S,NA,NA,NA,NA,NA,NA
Acanthopagrus berda,5526,Acanthopagrus,"(Fabricius, 1775)",Goldsilk seabream,demersal,NA,NA,50,NA,NA,90,35,3200,30,n,35,s,22,e,103,e,NA,NA
Achiroides leucorhynchos,25162,Achiroides,"Bleeker, 1851",NA,demersal,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Achiropsetta tricholepis,7119,Achiropsetta,"Norman, 1930",Prickly flounder,demersal,NA,21,1186,NA,NA,39,NA,NA,41,S,59,S,180,W,180,E,NA,NA
Achirus achirus,7572,Achirus,"(Linnaeus, 1758)",Drab sole,demersal,NA,1,20,NA,NA,37,30,1000,NA,NA,NA,NA,NA,NA,NA,NA,25,28
Aetomylaeus maculatus,12594,Aetomylaeus,"(Gray, 1834)",Mottled eagle ray,reef-associated,NA,1,18,NA,NA,200,NA,NA,30,N,23,s,51,e,167,e,NA,NA
Aetomylaeus milvus,12597,Aetomylaeus,"(Müller & Henle, 1841)",NA,benthopelagic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aetomylaeus nichofii,10120,Aetomylaeus,"(Bloch & Schneider, 1801)",Banded eagle ray,demersal,NA,1,100,NA,NA,65,NA,NA,41,N,24,S,51,E,154,E,NA,NA
Aetomylaeus vespertilio,12599,Aetomylaeus,"(Bleeker, 1852)",Ornate eagle ray,benthopelagic,NA,1,110,NA,NA,240,NA,NA,28,N,24,S,32,E,155,E,NA,NA
Acanthopagrus bifasciatus,4543,Acanthopagrus,"(Forsskål, 1775)",Twobar seabream,reef-associated,NA,2,20,NA,NA,36.20000076293945,40,NA,32,N,10,N,33,E,65,E,NA,NA
Acanthopagrus butcheri,14601,Acanthopagrus,"(Munro, 1949)",Black bream,demersal,NA,NA,NA,NA,NA,60,24,4000,23,S,44,S,112,E,154,E,NA,NA
Acanthopagrus catenula,67289,Acanthopagrus,"(Lacepède, 1801)",Bridled seabream,reef-associated,NA,NA,NA,NA,NA,36.400001525878906,NA,NA,20,N,37,S,28,E,67,E,NA,NA
Acanthopagrus chinshira,63767,Acanthopagrus,"Kume & Yoshino, 2008",Okinawan yellow-fin seabream,pelagic-neritic,NA,NA,NA,NA,NA,20.399999618530273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthopagrus datnia,67331,Acanthopagrus,"(Hamilton, 1822)",Bengal yellowfin seabream,demersal,NA,NA,NA,NA,NA,50,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthopagrus latus,6356,Acanthopagrus,"(Houttuyn, 1782)",Yellowfin seabream,demersal,NA,NA,NA,NA,NA,40,NA,1500,34,n,15,n,105,e,137,e,NA,NA
Acanthopagrus pacificus,65896,Acanthopagrus,"Iwatsuki, Kume & Yoshino, 2010",Pacific seabream,pelagic-neritic,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthopagrus palmaris,8110,Acanthopagrus,"(Whitley, 1935)",Northwest black bream,reef-associated,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthopagrus schlegelii,6531,Acanthopagrus,"(Bleeker, 1854)",Blackhead seabream,demersal,NA,15,NA,NA,NA,50,NA,3200,43,N,20,N,107,W,143,W,NA,NA
Acanthopagrus sheim,67333,Acanthopagrus,"Iwatsuki, 2013",Spotted yellowfin seabream,demersal,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthopagrus sivicolus,6583,Acanthopagrus,"Akazaki, 1962",Okinawa seabream,demersal,NA,NA,NA,NA,NA,45,NA,2500,30,N,24,N,NA,NA,NA,NA,NA,NA
Acanthopagrus taiwanensis,63153,Acanthopagrus,"Iwatsuki & Carpenter, 2006",Taiwan picnic seabream,demersal,NA,NA,NA,NA,NA,18.399999618530273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthopagrus vagus,65558,Acanthopagrus,"(Peters, 1852)",Wandering seabream,demersal,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthoplesiops psilogaster,59172,Acanthoplesiops,"Hardy, 1985",Barebelly longfin,demersal,Acanthoclininae,5,20,NA,NA,2.259999990463257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthopsetta nadeshnyi,8836,Acanthopsetta,"Schmidt, 1904",Scale-eye plaice,demersal,Pleuronectinae,18,900,NA,NA,46,NA,1200,66,N,NA,NA,NA,NA,NA,NA,NA,NA
Acanthostracion polygonium,4287,Acanthostracion,"Poey, 1876",Honeycomb cowfish,reef-associated,NA,3,80,NA,NA,50,25,152.39999389648438,42,N,35,S,99,w,34,w,NA,NA
Acanthostracion quadricornis,92,Acanthostracion,"(Linnaeus, 1758)",Scrawled cowfish,reef-associated,NA,1,80,10,30,55,20,NA,43,N,39,S,100,W,26,E,NA,NA
Acanthurus achilles,4306,Acanthurus,"Shaw, 1803",Achilles tang,reef-associated,Acanthurinae,0,10,0,4,24,NA,NA,28,N,26,S,143,E,109,W,NA,NA
Acanthurus albimento,68166,Acanthurus,"Carpenter, Williams & Santos, 2017",Whitechin surgeonfish,reef-associated,Acanthurinae,NA,NA,NA,NA,25.239999771118164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthurus albipectoralis,13770,Acanthurus,"Allen & Ayling, 1987",Whitefin surgeonfish,reef-associated,Acanthurinae,5,20,NA,NA,33,NA,NA,12,s,34,S,142,E,170,w,NA,NA
Acanthurus auranticavus,4748,Acanthurus,"Randall, 1956",Orange-socket surgeonfish,reef-associated,Acanthurinae,1,20,NA,NA,45,NA,NA,20,N,25,S,35,E,172,W,NA,NA
Acanthurus bahianus,68792,Acanthurus,"Castelnau, 1855",Barber surgeonfish,reef-associated,Acanthurinae,2,80,NA,NA,12.800000190734863,NA,NA,0,S,30,S,50,W,5,W,NA,NA
Acanthurus bariene,4307,Acanthurus,"Lesson, 1831",Black-spot surgeonfish,reef-associated,Acanthurinae,6,50,30,NA,50,NA,NA,30,N,24,S,32,e,179,e,23,29
Acanthurus blochii,4750,Acanthurus,"Valenciennes, 1835",Ringtail surgeonfish,reef-associated,Acanthurinae,2,15,NA,NA,45,NA,NA,31,N,34,S,25,e,156,w,NA,NA
Acanthurus chirurgus,943,Acanthurus,"(Bloch, 1787)",Doctorfish,reef-associated,Acanthurinae,2,25,2,15,39,35,5100,43,N,30,S,98,W,14,W,22,25
Acanthurus chronixis,6010,Acanthurus,"Randall, 1960",Chronixis surgeonfish,reef-associated,Acanthurinae,0,6,NA,NA,28,NA,NA,2,N,1,N,NA,NA,NA,NA,NA,NA
Acanthurus coeruleus,944,Acanthurus,"Bloch & Schneider, 1801",Blue tang surgeonfish,reef-associated,Acanthurinae,2,50,2,18,39,25,NA,43,N,27,S,100,W,4,W,NA,NA
Acanthurus dussumieri,1256,Acanthurus,"Valenciennes, 1835",Eyestripe surgeonfish,reef-associated,Acanthurinae,4,131,9,130,54,35,NA,40,N,37,S,17,e,155,W,24,28
Acanthurus gahhm,17471,Acanthurus,"(Forsskål, 1775)",Black surgeonfish,reef-associated,Acanthurinae,5,50,5,40,40,NA,NA,30,n,10,n,32,e,54,e,22,28
Acanthurus grammoptilus,4749,Acanthurus,"Richardson, 1843",Finelined surgeonfish,reef-associated,Acanthurinae,22,91,NA,NA,35.599998474121094,NA,1197,22,n,30,s,91,e,167,w,NA,NA
Acanthurus guttatus,4736,Acanthurus,"Forster, 1801",Whitespotted surgeonfish,reef-associated,Acanthurinae,0,10,NA,NA,26,NA,NA,30,N,30,S,52,E,140,W,NA,NA
Acanthurus japonicus,23375,Acanthurus,"(Schmidt, 1931)",Japan surgeonfish,reef-associated,Acanthurinae,1,20,5,15,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,28
Acanthurus leucocheilus,4741,Acanthurus,"Herre, 1927",Palelipped surgeonfish,reef-associated,Acanthurinae,0,40,3,30,45,NA,NA,19,N,3,N,NA,NA,NA,NA,23,27
Acanthurus leucopareius,4737,Acanthurus,"(Jenkins, 1903)",Whitebar surgeonfish,reef-associated,Acanthurinae,1,85,1,85,25,NA,NA,32,N,28,S,119,e,109,w,24,28
Acanthurus leucosternon,1257,Acanthurus,"Bennett, 1833",Powderblue surgeonfish,reef-associated,Acanthurinae,0,25,0,25,54,19,NA,26,N,30,S,31,E,129,E,23,28
Acanthurus lineatus,1258,Acanthurus,"(Linnaeus, 1758)",Lined surgeonfish,reef-associated,Acanthurinae,0,15,1,3,38,25,NA,36,N,36,S,27,E,137,W,24,30
Acanthurus maculiceps,4746,Acanthurus,"(Ahl, 1923)",White-freckled surgeonfish,reef-associated,Acanthurinae,1,15,3,15,40,NA,NA,31,N,15,S,72,E,157,W,24,28
Acanthurus mata,1255,Acanthurus,"(Cuvier, 1829)",Elongate surgeonfish,reef-associated,Acanthurinae,5,100,5,45,50,NA,NA,35,N,35,S,30,E,137,W,23,28
Acanthurus monroviae,1800,Acanthurus,"Steindachner, 1876",Monrovia doctorfish,demersal,Acanthurinae,5,200,5,40,45,38,NA,31,N,15,S,27,W,14,e,20,25
Acanthurus nigricans,6011,Acanthurus,"(Linnaeus, 1758)",Whitecheek surgeonfish,reef-associated,Acanthurinae,0,67,2,67,36,NA,620,30,N,24,S,NA,NA,NA,NA,21,29
Acanthurus nigricauda,4747,Acanthurus,"Duncker & Mohr, 1929",Epaulette surgeonfish,reef-associated,Acanthurinae,0,30,2,15,45.29999923706055,NA,2736,30,N,24,S,39,E,143,W,23,28
Acanthurus nigrofuscus,4739,Acanthurus,"(Forsskål, 1775)",Brown surgeonfish,reef-associated,Acanthurinae,0,25,2,25,21,NA,NA,31,N,34,S,3,E,123,W,24,28
Acanthurus nigroris,4738,Acanthurus,"Valenciennes, 1835",Bluelined surgeonfish,reef-associated,Acanthurinae,1,90,NA,NA,25,NA,NA,30,N,26,S,52,E,137,W,NA,NA
Acanthurus nubilus,4733,Acanthurus,"(Fowler & Bean, 1929)",Bluelined surgeon,reef-associated,Acanthurinae,5,90,5,40,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,28
Acanthurus olivaceus,4744,Acanthurus,"Bloch & Schneider, 1801",Orangespot surgeonfish,reef-associated,Acanthurinae,3,46,9,46,35,NA,NA,35,N,32,S,95,E,139,W,24,28
Acanthurus polyzona,4732,Acanthurus,"(Bleeker, 1868)",Black-barred surgeonfish,reef-associated,Acanthurinae,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthurus pyroferus,4742,Acanthurus,"Kittlitz, 1834",Chocolate surgeonfish,reef-associated,Acanthurinae,0,60,5,40,29,NA,NA,32,N,24,S,55,E,138,W,NA,NA
Acanthurus reversus,58792,Acanthurus,"Randall & Earle, 1999",NA,reef-associated,Acanthurinae,4,15,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthurus sohal,4740,Acanthurus,"(Forsskål, 1775)",Sohal surgeonfish,reef-associated,Acanthurinae,0,NA,0,20,40,NA,NA,30,n,2,s,32,e,122,e,24,30
Acanthurus tennentii,1259,Acanthurus,"Günther, 1861",Doubleband surgeonfish,reef-associated,Acanthurinae,1,40,3,25,31,25,NA,21,n,30,s,30,e,116,e,24,28
Acanthurus thompsoni,4734,Acanthurus,"(Fowler, 1923)",Thompson's surgeonfish,reef-associated,Acanthurinae,0,119,5,70,27,NA,NA,23,N,29,S,32,E,124,W,24,27
Acanthurus tractus,942,Acanthurus,"Poey, 1860",Ocean surgeonfish,reef-associated,Acanthurinae,11,45,NA,NA,38.099998474121094,25,NA,44,N,7,N,98,W,59,W,21,25
Acanthurus triostegus,1260,Acanthurus,"(Linnaeus, 1758)",Convict surgeonfish,reef-associated,Acanthurinae,0,90,0,90,27,17,NA,26,N,36,S,25,E,85,W,NA,NA
Acanthurus tristis,12782,Acanthurus,"Randall, 1993",Indian Ocean mimic surgeonfish,reef-associated,Acanthurinae,2,30,NA,NA,25,NA,NA,24,N,9,S,71,E,116,E,NA,NA
Acanthurus xanthopterus,1261,Acanthurus,"Valenciennes, 1835",Yellowfin surgeonfish,reef-associated,Acanthurinae,1,100,5,90,70,50,NA,35,N,35,S,23,e,77,w,24,28
Acentrogobius caninus,4894,Acentrogobius,"(Valenciennes, 1837)",Tropical sand goby,demersal,Gobiinae,NA,NA,NA,NA,18.299999237060547,NA,51.599998474121094,26,N,27,S,51,E,135,W,NA,NA
Acentrogobius dayi,46432,Acentrogobius,"Koumans, 1941",Day's goby,demersal,Gobiinae,NA,18,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acentrogobius gracilis,27549,Acentrogobius,"(Bleeker, 1875)",Bluespotted mangrove goby,demersal,Gobiinae,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acentrogobius janthinopterus,23581,Acentrogobius,"(Bleeker, 1853)",Robust mangrove goby,reef-associated,Gobiinae,NA,NA,NA,NA,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acentrogobius moloanus,23582,Acentrogobius,"(Herre, 1927)",Barcheek Amoya,demersal,Gobiinae,NA,NA,NA,NA,8.170000076293945,NA,5.900000095367432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acentrogobius multifasciatus,23583,Acentrogobius,"(Herre, 1927)",NA,demersal,Gobiinae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acentrogobius nebulosus,7228,Acentrogobius,"(Forsskål, 1775)",Shadow goby,reef-associated,Gobiinae,0,15,NA,NA,18,NA,NA,35,n,35,s,20,e,166,w,NA,NA
Acentrogobius pflaumii,23585,Acentrogobius,"(Bleeker, 1853)",Striped sandgoby,demersal,Gobiinae,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acentrogobius signatus,17033,Acentrogobius,"(Peters, 1855)",Tusk goby,demersal,Gobiinae,0,3,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acentrogobius suluensis,23587,Acentrogobius,"(Herre, 1927)",Sulu goby,demersal,Gobiinae,1,4,NA,NA,3.299999952316284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acentrogobius vanderloosi,68735,Acentrogobius,"Allen, 2015",Mudslope goby,demersal,Gobiinae,15,18,NA,NA,4.769999980926514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acentrogobius viganensis,23590,Acentrogobius,"(Steindachner, 1893)",NA,demersal,Gobiinae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acentrogobius viridipunctatus,15776,Acentrogobius,"(Valenciennes, 1837)",Spotted green goby,demersal,Gobiinae,NA,NA,NA,NA,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA
Acentronura breviperula,66887,Acentronura,"Fraser-Brunner & Whitley, 1949",NA,reef-associated,Syngnathinae,1,47,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acentronura tentaculata,16862,Acentronura,"Günther, 1870",Shortpouch pygmy pipehorse,reef-associated,Syngnathinae,1,20,NA,NA,6.300000190734863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acentrophryne dolichonema,62231,Acentrophryne,"Pietsch & Shimazaki, 2005",NA,bathypelagic,NA,201,1105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aceroichthys dioctes,60002,Aceroichthys,"(Kailola, 2000)",Warrior catfish,demersal,Ariinae,NA,NA,NA,NA,120,NA,19000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Achirus declivis,52941,Achirus,"Chabanaud, 1940",Plainfin sole,demersal,NA,NA,NA,NA,NA,18.700000762939453,NA,90.19999694824219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Achirus lineatus,4256,Achirus,"(Linnaeus, 1758)",Lined sole,demersal,NA,1,20,NA,NA,33.099998474121094,17,29.5,30,N,44,s,98,w,26,w,NA,NA
Achirus mucuri,64929,Achirus,"Ramos, Ramos & Lopes, 2009",American sole,benthopelagic,NA,NA,NA,NA,NA,9.029999732971191,NA,NA,18,S,19,S,39,W,40,W,NA,NA
Achoerodus gouldii,14420,Achoerodus,"(Richardson, 1843)",Western blue groper,reef-associated,NA,5,65,NA,NA,175,NA,39000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Achoerodus viridis,50808,Achoerodus,"(Steindachner, 1866)",Eastern blue groper,reef-associated,NA,1,40,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acipenser brevirostrum,2590,Acipenser,"Lesueur, 1818",Shortnose sturgeon,demersal,Acipenserinae,6,53,6,34,143,50,23000,49,N,28,N,82,W,65,W,NA,NA
Acipenser gueldenstaedtii,4712,Acipenser,"Brandt & Ratzeburg, 1833",Danube sturgeon,demersal,Acipenserinae,2,100,10,25,236,145,115000,61,N,35,N,26,E,54,E,10,20
Acipenser gueldenstaedtii,4712,Acipenser,"Brandt & Ratzeburg, 1833",Danube sturgeon,demersal,Acipenserinae,2,100,10,25,236,145,115000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acipenser gueldenstaedtii,4712,Acipenser,"Brandt & Ratzeburg, 1833",Danube sturgeon,demersal,Acipenserinae,2,100,10,25,236,145,115000,49,N,43,N,NA,NA,NA,NA,NA,NA
Acipenser gueldenstaedtii,4712,Acipenser,"Brandt & Ratzeburg, 1833",Danube sturgeon,demersal,Acipenserinae,2,100,10,25,236,145,115000,52,N,35,N,NA,NA,NA,NA,NA,NA
