Species,SpecCode,Genus,Author,FBname,DemersPelag,Subfamily,DepthRangeShallow,DepthRangeDeep,DepthRangeComShallow,DepthRangeComDeep,Length,CommonLength,Weight,Northernmost,NorthSouthN,Southermost,NorthSouthS,Westernmost,WestEastW,Easternmost,WestEastE,TempMin,TempMax
Rioraja agassizii,50857,Rioraja,"(Müller & Henle, 1841)",Rio skate,demersal,NA,NA,130,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Risor ruber,3898,Risor,"(Rosén, 1911)",Tusked goby,reef-associated,Gobiinae,NA,NA,NA,NA,2.5,NA,NA,NA,NA,6,N,NA,NA,NA,NA,NA,NA
Roa haraguchiae,69653,Roa,"Uejo, Senou & Motomura, 2020",White-spine butterfyfsh,reef-associated,NA,37,162,NA,NA,108.58999633789062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roa jayakari,12530,Roa,"(Norman, 1939)",Indian golden-barred butterflyfish,reef-associated,NA,33,280,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roa modesta,11668,Roa,"(Temminck & Schlegel, 1844)",Brown-banded butterflyfish,reef-associated,NA,40,250,NA,110,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roa rumsfeldi,68418,Roa,"Rocha, Pinheiro, Wandell, Rocha & Shepherd, 2017",Deep-blackfin butterflyfish,reef-associated,NA,100,130,NA,NA,7.752999782562256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rogadius asper,8305,Rogadius,"(Cuvier, 1829)",Olive-tailed flathead,demersal,NA,15,95,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rogadius patriciae,12982,Rogadius,"Knapp, 1987",Black-banded flathead,demersal,NA,14,100,NA,NA,27,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rogadius pristiger,15225,Rogadius,"(Cuvier, 1829)",Thorny flathead,demersal,NA,15,95,NA,NA,50,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rogadius serratus,15226,Rogadius,"(Cuvier, 1829)",Serrated flathead,reef-associated,NA,11,45,NA,NA,24,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roncador stearnsii,3588,Roncador,"(Steindachner, 1876)",Spotfin croaker,demersal,NA,1,22,NA,NA,70,30,4800,42,N,22,N,125,w,106,w,NA,NA
Rondeletia bicolor,28248,Rondeletia,"Goode & Bean, 1895",NA,bathypelagic,NA,NA,3003,NA,NA,11.199999809265137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rondeletia loricata,4317,Rondeletia,"Abe & Hotta, 1963",Redmouth whalefish,bathypelagic,NA,100,3500,NA,NA,11,NA,NA,67,N,42,S,180,W,180,E,NA,NA
Ronquilus jordani,3695,Ronquilus,"(Gilbert, 1889)",Northern ronquil,demersal,NA,3,275,NA,NA,20,NA,NA,NA,NA,37,N,NA,NA,NA,NA,NA,NA
Rosenblattia robusta,14878,Rosenblattia,"Mead & De Falla, 1965",Stout cardinalfish,bathypelagic,NA,700,2000,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rosenblattichthys alatus,24630,Rosenblattichthys,"(Fourmanoir, 1970)",Winged pearleye,pelagic-oceanic,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rosenblattichthys volucris,55099,Rosenblattichthys,"(Rofen, 1966)",Chubby pearleye,bathypelagic,NA,NA,NA,NA,NA,NA,NA,NA,33,N,NA,NA,NA,NA,NA,NA,NA,NA
Rostroraja alba,7613,Rostroraja,"(Lacepède, 1803)",White skate,demersal,NA,30,600,50,500,230,NA,NA,56,N,37,S,19,W,23,E,NA,NA
Rostroraja texana,1254,Rostroraja,"(Chandler, 1921)",Roundel skate,demersal,NA,1,183,15,110,53,NA,NA,30,n,18,n,98,w,80,w,14,28
Rostroraja velezi,13215,Rostroraja,"(Chirichigno F., 1973)",Velez ray,demersal,NA,35,300,35,140,83,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rouleina attrita,6964,Rouleina,"(Vaillant, 1888)",Softskin smooth-head,bathypelagic,NA,450,2300,NA,NA,48,NA,NA,65,N,36,S,180,W,180,E,NA,NA
Rouleina guentheri,22702,Rouleina,"(Alcock, 1892)",Bordello slickhead,bathypelagic,NA,500,1300,NA,NA,23,NA,NA,25,N,36,S,1,W,177,W,NA,NA
Rouleina maderensis,11229,Rouleina,"Maul, 1948",Madeiran smooth-head,bathypelagic,NA,595,1450,NA,NA,32,NA,NA,60,N,56,S,171,W,61,E,NA,NA
Ruanoho whero,65481,Ruanoho,"Hardy, 1986",Spectacled triplefin,benthopelagic,Tripterygiinae,0,21,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rubicundus lopheliae,63756,Rubicundus,"(Fernholm & Quattrini, 2008)",NA,bathydemersal,Rubicundinae,382,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rudarius ercodes,4575,Rudarius,"Jordan & Fowler, 1902",Whitespotted pygmy filefish,reef-associated,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rudarius minutus,7989,Rudarius,"Tyler, 1970",Minute leatherjacket,reef-associated,NA,2,15,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ruscarius creaseri,4045,Ruscarius,"(Hubbs, 1926)",Roughcheek sculpin,demersal,NA,0,27,NA,NA,7.599999904632568,NA,NA,37,N,NA,NA,NA,NA,NA,NA,NA,NA
Ruscarius meanyi,4049,Ruscarius,"Jordan & Starks, 1895",Puget Sound sculpin,demersal,NA,2,82,NA,NA,5.900000095367432,NA,NA,59,N,38,N,NA,NA,NA,NA,NA,NA
Ruvettus pretiosus,1044,Ruvettus,"Cocco, 1833",Oilfish,benthopelagic,NA,100,975,200,400,300,150,63500,55,N,43,S,180,W,180,E,NA,NA
Rypticus bicolor,25545,Rypticus,"Valenciennes, 1846",Mottled soapfish,reef-associated,NA,3,68,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rypticus bistrispinus,3353,Rypticus,"(Mitchill, 1818)",Freckled soapfish,reef-associated,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,23,S,NA,NA,NA,NA,NA,NA
Rypticus bornoi,16536,Rypticus,"Beebe & Tee-Van, 1928",Largespotted soapfish,reef-associated,NA,NA,NA,NA,NA,6.099999904632568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rypticus carpenteri,66505,Rypticus,"Baldwin & Weigt, 2012",Slope soapfish,reef-associated,NA,0,40,6,30,8.600000381469727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rypticus nigripinnis,8331,Rypticus,"Gill, 1861",Blackfin soapfish,reef-associated,NA,3,60,NA,NA,20.299999237060547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rypticus saponaceus,1056,Rypticus,"(Bloch & Schneider, 1801)",Greater soapfish,reef-associated,NA,1,70,2,35,35,25,NA,33,N,35,s,98,w,19,e,NA,NA
Rypticus subbifrenatus,3355,Rypticus,"Gill, 1861",Spotted soapfish,reef-associated,NA,1,26,1,2,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ryukyupercis gushikeni,8268,Ryukyupercis,"(Yoshino, 1975)",Rosy grubfish,demersal,NA,100,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saccopharynx ampullaceus,9109,Saccopharynx,"(Harwood, 1827)",Gulper eel,bathypelagic,NA,0,3000,NA,NA,161,NA,NA,73,n,10,n,77,w,1,w,NA,NA
Saccopharynx lavenbergi,57197,Saccopharynx,"Nielsen & Bertelsen, 1985",NA,bathypelagic,NA,2000,3000,2000,3000,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saccopharynx schmidti,24272,Saccopharynx,"Bertin, 1934",Whiptail gulper,bathypelagic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sacura boulengeri,46448,Sacura,"(Heemstra, 1973)",Boulenger's anthias,demersal,NA,NA,49,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sacura margaritacea,24854,Sacura,"(Hilgendorf, 1879)",NA,demersal,NA,15,50,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sacura parva,59190,Sacura,"Heemstra & Randall, 1979",Little fairy basslet,reef-associated,NA,NA,130,50,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sacura speciosa,59191,Sacura,"Heemstra & Randall, 1979",NA,demersal,NA,NA,150,NA,NA,9.600000381469727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sagamia geneionema,23700,Sagamia,"(Hilgendorf, 1879)",NA,demersal,Gobionellinae,NA,NA,NA,NA,7.099999904632568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sagamichthys abei,5198,Sagamichthys,"Parr, 1953",Shining tubeshoulder,bathypelagic,NA,37,1500,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sagamichthys schnakenbecki,11461,Sagamichthys,"(Krefft, 1953)",Schnakenbeck's searsid,bathypelagic,NA,365,1200,NA,NA,27,NA,NA,65,N,24,S,44,W,15,E,NA,NA
Salangichthys microdon,12238,Salangichthys,"(Bleeker, 1860)",Japanese icefish,demersal,NA,NA,NA,NA,NA,10,NA,1.5,52,N,30,N,99,e,159,e,NA,NA
Salanx ariakensis,22672,Salanx,"Kishinouye, 1902",NA,demersal,NA,NA,NA,NA,NA,14.699999809265137,11.300000190734863,NA,39,N,23,N,NA,NA,NA,NA,NA,NA
Salanx chinensis,12239,Salanx,"(Osbeck, 1765)",Chinese noodlefish,demersal,NA,NA,NA,NA,NA,16.100000381469727,13.300000190734863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salanx cuvieri,12240,Salanx,"Valenciennes, 1850",Noodlefish,demersal,NA,NA,NA,NA,NA,15.300000190734863,NA,NA,39,N,38,N,NA,NA,NA,NA,NA,NA
Salanx prognathus,47139,Salanx,"(Regan, 1908)",NA,demersal,NA,NA,NA,NA,NA,13.869999885559082,NA,NA,40,N,31,N,NA,NA,NA,NA,NA,NA
Salaria basilisca,46339,Salaria,"(Valenciennes, 1836)",NA,demersal,Salariinae,2,15,NA,NA,18,NA,NA,47,N,30,N,6,W,28,E,18,22
Salaria pavo,1701,Salaria,"(Risso, 1810)",Peacock blenny,demersal,Salariinae,NA,NA,NA,NA,13.800000190734863,NA,NA,46,N,33,N,10,W,42,E,NA,NA
Salarias alboguttatus,25795,Salarias,"Kner, 1867",White-spotted blenny,reef-associated,Salariinae,1,8,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salarias ceramensis,7749,Salarias,"Bleeker, 1853",Seram blenny,reef-associated,Salariinae,1,10,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salarias segmentatus,22515,Salarias,"Bath & Randall, 1991",Segmented blenny,reef-associated,Salariinae,0,12,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salarias sinuosus,13763,Salarias,"Snyder, 1908",Fringelip blenny,reef-associated,Salariinae,0,5,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salilota australis,306,Salilota,"(Günther, 1878)",Tadpole codling,demersal,NA,30,1000,NA,NA,50,NA,NA,40,S,57,S,76,W,55,W,NA,NA
Salmo abanticus,66450,Salmo,"Tortonese, 1954",NA,pelagic-neritic,Salmoninae,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salmo caspius,66449,Salmo,"Kessler, 1877",Caspian trout,pelagic-neritic,Salmoninae,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salmo labrax,48205,Salmo,"Pallas, 1814",Black Sea salmon,demersal,Salmoninae,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salmo macrostigma,4879,Salmo,"(Duméril, 1858)",NA,benthopelagic,Salmoninae,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salmo salar,236,Salmo,"Linnaeus, 1758",Atlantic salmon,benthopelagic,Salmoninae,0,210,10,23,150,38,46764,72,N,37,N,77,W,61,E,2,9
Salmo salar,236,Salmo,"Linnaeus, 1758",Atlantic salmon,benthopelagic,Salmoninae,0,210,10,23,150,38,46764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salmo trutta,238,Salmo,"Linnaeus, 1758",Sea trout,pelagic-neritic,Salmoninae,0,28,1,2,140,72,50000,71,N,34,N,25,W,57,E,18,24
Salmo trutta,238,Salmo,"Linnaeus, 1758",Sea trout,pelagic-neritic,Salmoninae,0,28,1,2,140,72,50000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salmo trutta,238,Salmo,"Linnaeus, 1758",Sea trout,pelagic-neritic,Salmoninae,0,28,1,2,140,72,50000,90,N,33,N,43,W,30,E,2,16
Saloptia powelli,7374,Saloptia,"Smith, 1964",Golden grouper,reef-associated,NA,140,367,NA,NA,39,NA,NA,29,N,23,S,111,E,140,W,NA,NA
Salvelinus alpinus,247,Salvelinus,"(Linnaeus, 1758)",Arctic char,benthopelagic,Salmoninae,0,70,0,1,107,40,15000,82,N,41,N,180,W,180,E,4,16
Salvelinus curilus,62773,Salvelinus,"(Pallas, 1814)",NA,benthopelagic,Salmoninae,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvelinus fontinalis,246,Salvelinus,"(Mitchill, 1814)",Brook trout,benthopelagic,Salmoninae,15,27,NA,NA,86,26.350000381469727,8000,61,N,34,N,124,W,52,W,0,25.2999992370605
Salvelinus leucomaenis,6411,Salvelinus,"(Pallas, 1814)",Whitespotted char,benthopelagic,Salmoninae,0,50,NA,NA,120,NA,15000,60,N,30,N,127,e,175,e,NA,NA
Salvelinus levanidovi,61678,Salvelinus,"Chereshnev, Skopets & Gudkov, 1989",NA,benthopelagic,Salmoninae,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvelinus malma,2691,Salvelinus,"(Walbaum, 1792)",Dolly varden,benthopelagic,Salmoninae,0,200,NA,NA,127,37.5,18300,75,N,38,N,127,E,123,W,4,18
Salvelinus malma,2691,Salvelinus,"(Walbaum, 1792)",Dolly varden,benthopelagic,Salmoninae,0,200,NA,NA,127,37.5,18300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvelinus taranetzi,63243,Salvelinus,"Kaganowsky, 1955",NA,benthopelagic,Salmoninae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Samaris cristatus,8290,Samaris,"Gray, 1831",Cockatoo righteye flounder,demersal,NA,20,114,NA,NA,22.299999237060547,16,54.04999923706055,35,N,31,S,32,E,168,E,NA,NA
Samariscus filipectoralis,59668,Samariscus,"Shen, 1982",NA,demersal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Samariscus japonicus,24240,Samariscus,"Kamohara, 1936",NA,demersal,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Samariscus latus,15185,Samariscus,"Matsubara & Takamuki, 1951",Deep-body righteye flounder,demersal,NA,NA,67,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Samariscus longimanus,23893,Samariscus,"Norman, 1927",Longfinned flounder,bathydemersal,NA,185,333,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Samariscus xenicus,24241,Samariscus,"Ochiai & Amaoka, 1962",NA,demersal,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schedophilus haedrichi,57957,Schedophilus,"Chirichigno F., 1973",Mocosa ruff,pelagic-oceanic,NA,NA,180,NA,NA,75,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schedophilus huttoni,10189,Schedophilus,"(Waite, 1910)",New Zealand ruffe,bathypelagic,NA,0,1000,270,500,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schedophilus maculatus,5056,Schedophilus,"Günther, 1860",Pelagic butterfish,pelagic-oceanic,NA,300,1110,300,700,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
