Species,SpecCode,DepthRangeShallow,DepthRangeDeep,Northernmost,NorthSouthN,Southermost,NorthSouthS,Westernmost,WestEastW,Easternmost,WestEastE,TempMin,TempMax
Pogonophryne mentella,49433,430,540,60,S,78,S,NA,NA,NA,NA,NA,NA
Pogonophryne neyelovi,66944,700,1390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pogonophryne orangiensis,56547,420,670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pogonophryne permitini,7082,430,1120,60,S,78,S,NA,NA,NA,NA,NA,NA
Pogonophryne scotti,7085,100,1180,60,S,78,S,NA,NA,NA,NA,NA,NA
Pogonophryne skorai,68999,360,490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pogonophryne squamibarbata,59318,651,742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pogonophryne stewarti,65644,NA,1738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pogonophryne tronio,66665,900,1225,71,S,73,S,177,E,178,W,NA,NA
Pollachius pollachius,34,40,200,72,N,36,N,25,W,28,E,NA,NA
Pollachius virens,1343,37,364,77,N,33,N,76,W,35,E,NA,NA
Pollachius virens,1343,37,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pollichthys mauli,10259,100,600,60,N,34,S,98,W,144,E,NA,NA
Polydactylus nigripinnis,10839,NA,NA,6,S,17,S,127,E,147,E,NA,NA
Polydactylus octonemus,1110,5,66,42,N,18,N,98,W,71,E,NA,NA
Polydactylus oligodon,1111,NA,NA,29,N,25,S,81,W,34,W,NA,NA
Polydactylus plebeius,7901,NA,122,37,N,35,S,22,E,148,W,NA,NA
Polydactylus quadrifilis,5002,15,55,22,N,5,S,26,W,13,E,NA,NA
Polydactylus sexfilis,6416,1,50,34,N,23,S,50,E,148,W,NA,NA
Polydactylus sextarius,4470,16,73,37,N,11,S,75,E,149,E,NA,NA
Polydactylus virginicus,1112,0,55,41,N,14,S,93,W,35,W,NA,NA
Polyipnus asteroides,47695,366,732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polyipnus clarus,47696,0,833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polyipnus elongatus,24502,NA,440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polyipnus indicus,16711,50,500,5,S,12,S,38,E,41,E,NA,NA
Polyipnus kiwiensis,24505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polyipnus laruei,68466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polyipnus matsubarai,22796,20,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polyipnus notatus,70224,0,1770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polyipnus ovatus,52653,194,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polyipnus polli,10165,250,600,31,N,25,S,NA,NA,NA,NA,NA,NA
Polyipnus ruggeri,24507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polyipnus spinifer,22793,154,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polyipnus spinosus,7593,0,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polyipnus stereope,22794,150,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polyipnus tridentifer,10562,640,825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polyipnus triphanos,10386,322,966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polylepion cruentum,13847,150,200,24,N,4,N,NA,NA,NA,NA,NA,NA
Polylepion russelli,13040,100,353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polymetme corythaeola,5057,165,800,66,N,48,S,180,W,180,E,NA,NA
Polymetme elongata,23624,NA,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polymetme thaeocoryla,57353,213,1400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polymixia berndti,10273,18,585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polymixia busakhini,52816,410,660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polymixia fusca,52808,19,435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polymixia japonica,12996,160,628,40,N,6,N,97,E,154,W,NA,NA
Polymixia longispina,52812,190,670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polymixia lowei,3245,50,600,41,N,4,N,NA,NA,NA,NA,NA,NA
Polymixia nobilis,7557,100,770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polymixia sazonovi,52818,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polynemus dubius,14614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polynemus paradiseus,8318,NA,25,24,N,11,N,71,E,102,E,NA,NA
Polyprion americanus,349,40,600,70,N,55,S,82,W,179,E,NA,NA
Polyprion americanus,349,40,600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polyprion oxygeneios,350,50,854,28,S,50,S,180,W,180,E,NA,NA
Polyspina piosae,55037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polysteganus baissaci,14399,80,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polysteganus coeruleopunctatus,7935,NA,500,31,N,28,S,NA,NA,NA,NA,NA,NA
Polysteganus mascarenensis,66273,NA,NA,15,S,16,S,61,E,62,E,NA,NA
Polysteganus praeorbitalis,5533,20,100,17,S,28,S,NA,NA,NA,NA,NA,NA
Polysteganus undulosus,4542,30,NA,17,S,30,S,NA,NA,NA,NA,NA,NA
Pomacanthus annularis,7902,1,60,25,N,25,S,NA,NA,NA,NA,NA,NA
Pomacanthus arcuatus,1117,2,60,44,n,23,s,98,w,34,w,22,28
Pomacanthus asfur,11194,3,30,NA,NA,NA,NA,NA,NA,NA,NA,22,27
Pomacanthus chrysurus,11209,1,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomacanthus imperator,6504,1,100,31,N,28,S,32,E,144,W,NA,NA
Pomacanthus maculosus,7903,4,60,30,N,33,s,24,e,65,e,NA,NA
Pomacanthus navarchus,5661,3,40,32,n,25,s,92,e,162,e,NA,NA
Pomacanthus paru,1118,3,100,33,N,30,S,99,w,14,w,NA,NA
Pomacanthus rhomboides,25430,NA,NA,NA,NA,34,S,NA,NA,NA,NA,NA,NA
Pomacanthus semicirculatus,5663,1,40,30,N,30,S,NA,NA,NA,NA,NA,NA
Pomacanthus sexstriatus,6564,3,60,32,N,23,S,77,e,169,e,NA,NA
Pomacanthus xanthometopon,5662,5,30,25,N,24,S,72,E,170,E,NA,NA
Pomacanthus zonipectus,8328,6,12,32,N,NA,NA,NA,NA,NA,NA,NA,NA
Pomacentrus adelus,12476,2,8,21,n,25,s,92,e,173,w,NA,NA
Pomacentrus agassizii,12477,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomacentrus albiaxillaris,68455,4,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomacentrus albicaudatus,12478,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomacentrus alexanderae,6920,5,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomacentrus alleni,12479,3,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomacentrus amboinensis,5715,2,40,30,N,25,S,NA,NA,NA,NA,NA,NA
Pomacentrus andamanensis,69492,2,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomacentrus aquilus,12480,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomacentrus arabicus,12481,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomacentrus armillatus,25210,8,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomacentrus aurifrons,61536,2,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomacentrus auriventris,12483,0,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomacentrus australis,10252,5,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomacentrus baenschi,12485,1,20,2,S,27,S,NA,NA,NA,NA,NA,NA
Pomacentrus bangladeshius,69584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomacentrus bankanensis,5717,0,32,36,N,25,S,92,e,173,w,NA,NA
Pomacentrus bellipictus,69216,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomacentrus brachialis,5718,6,40,30,N,25,S,95,E,175,E,NA,NA
Pomacentrus burroughi,5719,2,16,19,N,12,S,NA,NA,NA,NA,NA,NA
Pomacentrus caeruleopunctatus,61079,7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomacentrus caeruleus,12486,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomacentrus callainus,61074,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomacentrus chrysurus,5721,0,5,30,N,23,S,NA,NA,NA,NA,NA,NA
Pomacentrus coelestis,5720,1,20,36,N,32,S,79,E,133,W,NA,NA
Pomacentrus flavioculus,68810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomacentrus flavoaxillaris,68456,8,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomacentrus geminospilus,25216,4,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomacentrus grammorhynchus,5723,2,12,19,N,24,S,NA,NA,NA,NA,NA,NA
Pomacentrus imitator,12489,2,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomacentrus lepidogenys,6620,1,12,32,n,25,s,92,e,173,w,NA,NA
Pomacentrus leptus,12494,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomacentrus littoralis,12493,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomacentrus magniseptus,68457,2,12,11,s,24,s,NA,NA,NA,NA,NA,NA
Pomacentrus melanochir,12495,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomacentrus micronesicus,69104,5,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomacentrus microspilus,63872,2,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomacentrus milleri,12496,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomacentrus moluccensis,5724,1,60,32,N,32,S,92,e,173,w,NA,NA
Pomacentrus nagasakiensis,5716,3,35,10,N,25,S,NA,NA,NA,NA,NA,NA
Pomacentrus nigriradiatus,68458,8,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomacentrus nigromanus,5725,6,60,21,n,21,S,104,e,171,e,NA,NA
Pomacentrus nigromarginatus,6621,20,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomacentrus pavo,5726,1,18,16,N,32,S,NA,NA,NA,NA,NA,NA
Pomacentrus philippinus,5727,1,20,30,N,23,S,NA,NA,NA,NA,NA,NA
Pomacentrus reidi,5728,3,70,21,n,25,s,104,e,171,e,NA,NA
Pomacentrus similis,12500,2,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomacentrus smithi,10279,2,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomacentrus spilotoceps,61075,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomacentrus stigma,12501,2,15,24,N,4,N,NA,NA,NA,NA,NA,NA
Pomacentrus sulfureus,12503,1,5,NA,NA,21,S,NA,NA,NA,NA,NA,NA
Pomacentrus taeniometopon,10280,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomacentrus trichrourus,12504,1,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomacentrus trilineatus,12505,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomacentrus tripunctatus,8277,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomacentrus vaiuli,5730,0,45,35,N,25,S,104,e,159,w,NA,NA
Pomacentrus vatosoa,69018,15,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomacentrus wardi,10281,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomacentrus xanthosternus,12506,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomachromis fuscidorsalis,10282,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomachromis richardsoni,6923,5,25,15,S,20,S,NA,NA,NA,NA,NA,NA
Pomadasys aheneus,27316,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomadasys andamanensis,13117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomadasys argenteus,399,15,115,40,N,27,S,32,e,170,e,26,29
Pomadasys argyreus,4823,NA,NA,30,N,11,S,NA,NA,NA,NA,NA,NA
Pomadasys commersonnii,5126,0,49,31,N,37,S,18,E,77,E,NA,NA
Pomadasys furcatus,7707,10,20,29,N,30,S,31,E,145,E,NA,NA
Pomadasys incisus,5003,10,100,47,N,14,S,27,W,14,E,NA,NA
Pomadasys kaakan,6006,NA,75,32,N,32,S,18,E,154,E,NA,NA
Pomadasys maculatus,4447,20,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomadasys olivaceus,5518,1,50,26,n,35,s,14,e,101,e,NA,NA
Pomadasys perotaei,9911,NA,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomadasys quadrilineatus,58242,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomadasys ramosus,64824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomadasys striatus,7301,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomadasys stridens,7708,NA,68,31,n,32,s,29,e,77,e,NA,NA
Pomatomus saltatrix,364,0,200,53,N,44,S,98,W,180,E,NA,NA
Pomatoschistus bathi,9187,7,14,46,N,30,N,6,W,36,E,NA,NA
Pomatoschistus knerii,9189,NA,NA,46,N,35,N,6,W,20,E,NA,NA
Pomatoschistus lozanoi,9190,70,80,58,N,38,N,10,W,9,E,NA,NA
Pomatoschistus marmoratus,9191,20,70,48,N,35,N,10,W,42,E,20,28
Pomatoschistus microps,1344,0,12,64,N,20,N,19,W,31,E,8,24
Pomatoschistus minutus,1345,4,200,71,N,35,N,11,W,34,E,8,24
Pomatoschistus nanus,68671,29,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomatoschistus norvegicus,1346,18,325,71,N,35,N,11,W,25,E,NA,NA
Pomatoschistus pictus,1347,1,55,65,N,27,N,19,W,29,E,NA,NA
Pomatoschistus quagga,9192,NA,NA,46,N,35,N,6,W,20,E,NA,NA
Pomatoschistus tortonesei,9193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ponticola cephalargoides,57322,NA,NA,48,N,42,N,27,E,42,E,NA,NA
Ponticola eurycephalus,48343,NA,NA,47,N,41,N,32,E,42,E,4,20
Ponticola gorlap,49693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ponticola ratan,25980,NA,NA,47,N,36,N,27,E,54,E,NA,NA
Ponticola syrman,25982,NA,NA,47,N,36,N,27,E,54,E,NA,NA
Pontinus castor,1200,45,400,32,N,9,N,98,w,60,w,NA,NA
Pontinus clemensi,8221,91,110,3,N,2,N,NA,NA,NA,NA,NA,NA
Pontinus furcirhinus,14205,NA,300,25,N,NA,NA,NA,NA,NA,NA,NA,NA
Pontinus kuhlii,5007,100,600,43,N,8,S,32,W,16,E,NA,NA
Pontinus longispinis,3931,75,440,32,N,33,S,NA,NA,NA,NA,NA,NA
Pontinus macrocephalus,8280,174,278,41,N,28,S,97,E,143,W,NA,NA
Pontinus nematophthalmus,3932,82,410,30,N,NA,NA,NA,NA,NA,NA,NA,NA
Pontinus nigerimum,23275,NA,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pontinus rathbuni,3933,NA,146,38,N,9,N,NA,NA,NA,NA,NA,NA
Pontinus rhodochrous,56754,223,369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pontinus sierra,8222,NA,250,25,N,8,N,NA,NA,NA,NA,NA,NA
Pontinus strigatus,59566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Porcostoma dentata,7965,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Porichthys analis,13547,0,360,32,N,18,N,NA,NA,NA,NA,NA,NA
Porichthys mimeticus,13551,82,185,32,N,24,N,NA,NA,NA,NA,NA,NA
Porichthys myriaster,3070,0,126,35,n,7,s,123,w,83,w,NA,NA
Porichthys notatus,3071,0,366,58,N,28,N,136,W,112,W,NA,NA
Porichthys pauciradiatus,50091,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Porichthys plectrodon,3072,1,100,38,N,7,S,98,w,34,w,NA,NA
Porichthys porosissimus,12925,30,200,26,n,41,s,98,w,34,w,NA,NA
Poroclinus rothrocki,3794,46,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Porocottus allisi,23940,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Porocottus camtschaticus,56767,0,40,57,N,45,N,135,E,162,E,NA,NA
Porocottus coronatus,56765,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Porocottus japonicus,56768,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Porocottus leptosomus,59889,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Porocottus minutus,56766,0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Porocottus tentaculatus,23942,0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poroderma africanum,835,0,100,28,S,36,S,NA,NA,NA,NA,NA,NA
Poroderma pantherinum,837,0,256,28,S,36,S,NA,NA,NA,NA,NA,NA
Porogadus guentheri,23630,805,1530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Porogadus miles,16789,1000,5055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poromitra curilensis,65377,0,8000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poromitra gibbsi,59572,0,1230,0,N,35,S,NA,NA,NA,NA,NA,NA
Poromitra megalops,16858,150,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poromitra oscitans,15709,645,5320,45,N,49,S,79,E,109,W,NA,NA
Porophryne erythrodactylus,69368,6,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Posidonichthys hutchinsi,58228,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Potamalosa richmondia,1571,NA,NA,32,S,39,S,139,E,151,E,NA,NA
Praealticus bilineatus,59608,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Praealticus caesius,61224,NA,NA,21,s,24,s,176,w,128,W,NA,NA
Praealticus labrovittatus,59515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Praealticus margaritarius,63516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Praealticus margaritatus,59663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Praealticus poptae,59516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Praealticus striatus,59613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Praealticus tanegasimae,23770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Priacanthus arenatus,1149,10,200,44,N,40,S,98,W,34,E,NA,NA
Priacanthus blochii,9903,15,30,NA,NA,NA,NA,NA,NA,NA,NA,23,27
Priacanthus fitchi,9904,150,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Priacanthus hamrur,5791,0,250,36,N,36,S,24,e,109,w,NA,NA
Priacanthus macracanthus,356,12,400,32,N,22,S,NA,NA,NA,NA,NA,NA
Priacanthus meeki,7787,3,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Priacanthus prolixus,9912,35,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Priacanthus sagittarius,9913,NA,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Priacanthus tayenus,4651,20,200,30,N,19,S,NA,NA,NA,NA,NA,NA
Priacanthus zaiserae,9914,30,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Priolepis fallacincta,8454,24,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Priolepis farcimen,22492,NA,NA,28,N,28,S,NA,NA,NA,NA,NA,NA
Priolepis hipoliti,3897,1,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Priolepis inhaca,8032,12,26,30,N,27,S,NA,NA,NA,NA,NA,NA
Priolepis kappa,27354,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prognathodes aculeatus,3600,1,100,33,n,9,s,98,w,57,w,NA,NA
Prognathodes aya,3601,20,170,36,N,20,N,NA,NA,NA,NA,NA,NA
Prognathodes basabei,68467,45,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prognathodes falcifer,3603,10,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prognathodes geminus,69017,110,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prognathodes marcellae,5102,12,140,17,N,17,S,26,W,13,E,NA,NA
Prognatholiparis ptychomandibularis,58835,NA,455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prognichthys brevipinnis,15382,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prognichthys gibbifrons,1038,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prognichthys glaphyrae,60690,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prognichthys occidentalis,60691,0,NA,40,N,40,S,NA,NA,NA,NA,NA,NA
Prognichthys sealei,5124,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prognichthys tringa,13692,0,NA,28,N,1,S,NA,NA,NA,NA,NA,NA
Psenes arafurensis,10299,0,650,37,N,24,S,NA,NA,154,W,NA,NA
Priolepis latifascima,59266,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Priolepis nocturna,25525,8,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Priolepis semidoliata,12885,2,30,30,N,35,S,NA,NA,NA,NA,NA,NA
Priolepis squamogena,56844,1,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Priolepis triops,59408,15,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prionace glauca,898,0,1082,70,N,55,S,180,W,180,E,7,21
Prionodraco evansii,7104,70,550,60,S,78,S,NA,NA,NA,NA,NA,NA
Prionotus alatus,4020,35,180,38,N,10,S,98,w,60,W,NA,NA
Prionotus albirostris,14256,1,30,29,N,13,S,NA,NA,NA,NA,NA,NA
Prionotus carolinus,1243,15,170,46,N,10,N,98,w,60,w,NA,NA
Prionotus evolans,1244,9,180,46,N,26,N,82,w,63,w,NA,NA
Prionotus longispinosus,4026,NA,219,31,n,9,n,98,w,59,w,NA,NA
Prionotus martis,4021,33,NA,NA,NA,20,N,NA,NA,NA,NA,NA,NA
Prionotus ophryas,4022,1,171,37,N,9,N,98,w,59,w,NA,NA
Prionotus paralatus,4023,36,180,31,N,19,N,98,w,87,w,NA,NA
Prionotus punctatus,1245,NA,190,26,n,53,s,98,w,34,w,NA,NA
Prionotus roseus,4024,9,183,37,N,34,S,98,w,34,w,NA,NA
Prionotus rubio,4025,NA,NA,37,N,19,N,98,W,70,W,NA,NA
Prionotus ruscarius,14259,NA,NA,31,N,NA,NA,NA,NA,NA,NA,NA,NA
Prionotus scitulus,4027,1,45,38,N,24,N,98,w,59,w,NA,NA
Prionotus stearnsi,4028,37,300,37,N,24,N,NA,NA,NA,NA,NA,NA
Prionotus stephanophrys,4029,15,110,48,N,34,S,125,W,70,W,NA,NA
Prionotus tribulus,4030,9,183,37,N,24,N,98,w,75,w,NA,NA
Prionurus biafraensis,4944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prionurus chrysurus,59451,5,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prionurus laticlavius,13417,3,30,19,N,1,S,120,W,70,W,NA,NA
Prionurus maculatus,12625,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,20,24
Prionurus microlepidotus,12626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,20
Prionurus punctatus,13419,5,35,30,N,14,N,NA,NA,NA,NA,NA,NA
Prionurus scalprum,9231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,28
Pristiapogon exostigma,5756,3,120,30,N,28,S,NA,NA,NA,NA,NA,NA
Pristiapogon fraenatus,5757,3,50,30,N,32,S,NA,NA,NA,NA,NA,NA
Pristiapogon kallopterus,5758,3,158,32,N,28,S,NA,NA,NA,NA,NA,NA
Pristiapogon taeniopterus,5755,1,42,28,N,24,S,NA,NA,NA,NA,NA,NA
Pristicon rhodopterus,23455,3,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristicon rufus,59480,15,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristicon trimaculatus,5748,1,35,30,N,18,S,NA,NA,NA,NA,NA,NA
Pristigenys alta,3518,5,200,45,N,5,N,98,w,53,w,NA,NA
Pristigenys meyeri,9891,100,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristigenys niphonia,7905,1,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristigenys refulgens,67121,80,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristigenys serrula,3519,5,100,37,N,56,s,123,w,72,w,NA,NA
Pristiophorus cirratus,721,37,310,28,S,45,S,113,E,154,E,NA,NA
Pristiophorus japonicus,722,0,500,48,N,22,N,118,E,145,E,NA,NA
Pristiophorus lanae,67529,29,593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristiophorus nudipinnis,723,37,165,31,S,41,S,125,E,150,E,NA,NA
Pristipomoides aquilonaris,198,24,370,41,N,15,S,99,W,31,W,NA,NA
Pristipomoides argyrogrammicus,199,70,350,35,N,24,S,98,E,167,W,NA,NA
Pristipomoides auricilla,200,90,360,35,N,25,S,89,E,150,W,NA,NA
Pristipomoides filamentosus,201,40,400,35,N,26,S,31,E,144,W,NA,NA
Pristipomoides flavipinnis,202,90,360,31,N,28,S,93,E,166,W,NA,NA
Pristipomoides macrophthalmus,206,110,550,27,N,5,N,89,W,53,W,NA,NA
Pristipomoides multidens,208,40,350,32,N,36,S,33,E,157,W,NA,NA
Pristipomoides sieboldii,209,100,360,35,N,32,S,30,E,143,W,NA,NA
Pristipomoides typus,210,40,120,32,N,12,S,93,E,157,E,NA,NA
Pristipomoides zonatus,211,70,300,35,N,29,S,34,E,146,W,NA,NA
Pristis clavata,15378,1,20,20,N,25,S,46,E,155,E,NA,NA
Pristis microdon,2546,0,10,22,N,39,S,20,E,154,E,NA,NA
Pristis microdon,2546,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristis pectinata,2057,10,88,NA,NA,NA,NA,NA,NA,NA,NA,16,30
Pristis pectinata,2057,10,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristis perotteti,51176,1,122,32,N,19,S,106,W,15,E,NA,NA
Pristis pristis,8940,25,NA,35,N,40,S,120,W,160,E,NA,NA
Pristis zijsron,7956,5,70,30,N,37,S,20,E,155,E,NA,NA
Pristotis cyanostigma,12507,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
