Species,SpecCode,DepthRangeShallow,DepthRangeDeep,Northernmost,NorthSouthN,Southermost,NorthSouthS,Westernmost,WestEastW,Easternmost,WestEastE,TempMin,TempMax
Alepocephalus longiceps,22691,NA,1300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alepocephalus owstoni,22688,600,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alepocephalus productus,10000,815,3500,53,N,49,S,180,W,180,E,NA,NA
Alepocephalus rostratus,5071,300,2250,64,N,17,S,22,W,22,E,NA,NA
Alepocephalus tenebrosus,11590,46,5500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alepocephalus triangularis,22694,1000,1140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alepocephalus umbriceps,22687,500,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alertichthys blacki,46981,458,549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ahlia egmontis,2633,1,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ahliesaurus berryi,9155,0,2000,40,N,40,S,NA,NA,NA,NA,NA,NA
Aidablennius sphynx,25971,NA,NA,47,N,20,N,18,W,42,E,NA,NA
Aioliops novaeguineae,27609,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akarotaxis nudiceps,7093,371,915,66,S,79,S,NA,NA,NA,NA,NA,NA
Alabes dorsalis,51362,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alabes hoesei,51367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alabes parvula,27497,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alabes scotti,62638,24,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albatrossia pectoralis,8435,140,3500,62,N,26,N,143,E,115,W,NA,NA
Albula argentea,58326,0,90,41,n,34,s,92,e,123,w,NA,NA
Albula esuncula,65525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albula gilberti,66312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albula goreensis,67597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albula koreana,66113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albula oligolepis,63907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albula pacifica,67476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albula virgata,63908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albula vulpes,228,0,84,26,N,7,N,97,W,58,W,NA,NA
Alcichthys elongatus,61290,15,269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aldrichetta forsteri,12938,0,50,25,S,47,S,112,E,173,W,NA,28
Aldrovandia affinis,7502,730,2560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aldrovandia gracilis,9009,460,2560,36,N,9,N,NA,NA,NA,NA,NA,NA
Aldrovandia oleosa,9011,1200,1900,37,N,9,S,74,W,6,W,NA,NA
Aldrovandia phalacra,9012,500,2300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alectis ciliaris,988,60,100,42,N,34,S,180,W,180,E,NA,NA
Alectrias alectrolophus,3772,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alectrias benjamini,25022,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alectrias cirratus,50409,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alectrias gallinus,61164,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alepes apercna,15332,5,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alepes djedaba,1889,NA,NA,46,N,37,S,19,E,138,W,NA,NA
Alepes kleinii,1903,5,100,31,N,26,S,47,E,154,E,NA,NA
Alepes melanoptera,1890,NA,NA,31,N,10,S,48,E,129,E,NA,NA
Alepes vari,1891,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alepisaurus brevirostris,2728,640,1591,68,N,72,S,180,W,180,E,NA,NA
Alionematichthys piger,64965,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amarsipus carlsbergi,4459,30,130,14,N,20,S,49,E,142,W,NA,NA
Ambassis ambassis,61467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambassis dussumieri,9899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambassis gymnocephalus,4806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,28
Ambassis interrupta,5153,NA,NA,19,N,23,S,NA,NA,NA,NA,NA,NA
Ambassis jacksoniensis,15126,0,6,27,S,36,S,146,E,155,E,NA,NA
Ambassis kopsii,5982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambassis macracanthus,24793,NA,NA,6,N,6,S,NA,NA,NA,NA,NA,NA
Ambassis miops,9234,0,2,26,N,27,S,75,E,172,W,NA,NA
Ambassis nalua,15133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambassis natalensis,8016,NA,NA,13,n,39,s,19,e,52,e,NA,NA
Ambassis urotaenia,9235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
