Species,SpecCode,TempMin,TempMax
Alionematichthys crassiceps,64958,NA,NA
Alionematichthys minyomma,56405,NA,NA
Alionematichthys phuketensis,64959,NA,NA
Alionematichthys piger,64965,NA,NA
Amarsipus carlsbergi,4459,NA,NA
Ambassis ambassis,61467,NA,NA
Ambassis dussumieri,9899,NA,NA
Ambassis gymnocephalus,4806,22,28
Ambassis interrupta,5153,NA,NA
Ambassis jacksoniensis,15126,NA,NA
Ambassis kopsii,5982,NA,NA
Ambassis macracanthus,24793,NA,NA
Ambassis miops,9234,NA,NA
Ambassis nalua,15133,NA,NA
Ambassis natalensis,8016,NA,NA
Ambassis urotaenia,9235,NA,NA
Ambassis vachellii,15135,NA,NA
Ambiserrula jugosa,52300,NA,NA
Alionematichthys plicatosurculus,64960,NA,NA
Alionematichthys riukiuensis,27338,NA,NA
Alionematichthys samoaensis,64961,NA,NA
Alionematichthys shinoharai,64962,NA,NA
Alionematichthys suluensis,64963,NA,NA
Alionematichthys winterbottomi,64964,NA,NA
Allenbatrachus grunniens,6391,23,28
Allenbatrachus meridionalis,63432,NA,NA
Allenbatrachus reticulatus,50449,NA,NA
Allenichthys glauerti,14035,NA,NA
Allips concolor,53948,NA,NA
Alloblennius anuchalis,52390,NA,NA
Alloblennius frondiculus,66456,NA,NA
Alloblennius jugularis,6046,NA,NA
Alloblennius parvus,16940,NA,NA
Alloblennius pictus,52391,NA,NA
Allocareproctus jordani,24122,NA,NA
Allocareproctus kallaion,62924,NA,NA
Allocareproctus tanix,62923,NA,NA
Allocareproctus unangas,62925,NA,NA
Allocareproctus ungak,62926,NA,NA
Alloclinus holderi,3710,NA,NA
Allocyttus folletti,11685,NA,NA
Allocyttus guineensis,9140,NA,NA
Allocyttus niger,12962,NA,NA
Allocyttus verrucosus,9144,NA,NA
Allomicrodesmus dorotheae,17476,NA,NA
Allomycterus pilatus,14573,NA,NA
Allosmerus elongatus,2694,NA,NA
Allothunnus fallai,91,NA,NA
Alopias pelagicus,5891,NA,NA
Alopias superciliosus,2534,NA,NA
Alopias vulpinus,2535,NA,NA
Alosa aestivalis,1574,NA,NA
Alosa alabamae,1575,NA,NA
Alosa algeriensis,65105,NA,NA
Alosa alosa,101,NA,NA
Alosa caspia,1577,NA,NA
Alosa chrysochloris,1578,NA,NA
Alosa fallax,5355,NA,NA
Alosa immaculata,105,NA,NA
Alosa kessleri,1580,NA,NA
Alosa maeotica,1581,NA,NA
Alosa mediocris,1582,NA,NA
Alosa pseudoharengus,1583,NA,NA
Alosa sapidissima,1584,NA,NA
Alosa tanaica,48090,NA,NA
Alphestes afer,8726,NA,NA
Alphestes immaculatus,8727,NA,NA
Alphestes multiguttatus,8728,NA,NA
Alticus arnoldorum,56805,NA,NA
Alticus kirkii,46411,NA,NA
Alticus magnusi,67677,NA,NA
Alticus monochrus,9919,NA,NA
Alticus montanoi,59611,NA,NA
Alticus orientalis,67686,NA,NA
Alticus sertatus,62209,NA,NA
Alticus simplicirrus,61229,NA,NA
Altrichthys alelia,69634,NA,NA
Altrichthys azurelineatus,11832,NA,NA
Altrichthys curatus,59851,NA,NA
Aluterus heudelotii,4273,NA,NA
Aluterus monoceros,4274,NA,NA
Aluterus schoepfii,1081,NA,NA
Aluterus scriptus,4275,NA,NA
Amamiichthys matsubarai,8105,NA,NA
Amanses scopas,6672,NA,NA
Amblychaeturichthys hexanema,15855,NA,NA
Ammotretis rostratus,8837,NA,NA
Amniataba caudavittata,14923,NA,NA
Amphelikturus dendriticus,3279,NA,NA
Amphichaetodon howensis,12529,NA,NA
Amphichaetodon melbae,10293,NA,NA
Amblychaeturichthys sciistius,15856,NA,NA
Amblycirrhitus bimacula,5829,NA,NA
Amblycirrhitus earnshawi,22482,NA,NA
Amblycirrhitus oxyrhynchos,60598,NA,NA
Amblycirrhitus pinos,3655,NA,NA
Amblycirrhitus unimacula,23501,NA,NA
Amblyeleotris arcupinna,59331,NA,NA
Amblyeleotris aurora,12694,21,28
Amblyeleotris bellicauda,62930,NA,NA
Amblyeleotris biguttata,62928,NA,NA
Amblyeleotris bleekeri,64543,NA,NA
Amblyeleotris callopareia,47040,NA,NA
Amblyeleotris delicatulus,59375,NA,NA
Amblyeleotris diagonalis,13152,NA,NA
Amblyeleotris downingi,26635,NA,NA
Amblyeleotris ellipse,62929,NA,NA
Amblyeleotris fasciata,7229,NA,NA
Amblyeleotris fontanesii,7230,NA,NA
Amblyeleotris guttata,6671,22,28
Amblyeleotris gymnocephala,11614,NA,NA
Amblyeleotris harrisorum,61004,NA,NA
Amblyeleotris japonica,6520,NA,NA
Amblyeleotris latifasciata,47046,NA,NA
Amblyeleotris macronema,47043,NA,NA
Amblyeleotris marquesas,61005,NA,NA
Amblyeleotris masuii,46533,NA,NA
Amblyeleotris melanocephala,57797,NA,NA
Amblyeleotris memnonia,70530,NA,NA
Amblyeleotris neglecta,65196,NA,NA
Amblyeleotris neumanni,64545,NA,NA
Amblyeleotris novaecaledoniae,27552,NA,NA
Amblyeleotris ogasawarensis,12697,NA,NA
Amblyeleotris periophthalma,7231,22,28
Amblyeleotris randalli,7232,22,25
Amblyeleotris rhyax,47039,NA,NA
Amblyeleotris rubrimarginata,61007,NA,NA
Amblyeleotris steinitzi,7195,NA,NA
Amblyeleotris stenotaeniata,62931,NA,NA
Amblyeleotris sungami,12699,NA,NA
Amblyeleotris taipinensis,64544,NA,NA
Amblyeleotris triguttata,26636,NA,NA
Amblyeleotris wheeleri,7196,21,30
Amblyeleotris yanoi,46531,NA,NA
Amblygaster clupeoides,1499,NA,NA
Amblygaster indiana,68475,NA,NA
Amblygaster leiogaster,1500,NA,NA
Amblygaster sirm,1501,NA,NA
Amblyglyphidodon aureus,5690,NA,NA
Amblyglyphidodon batunaorum,54180,NA,NA
Amblyglyphidodon curacao,5477,NA,NA
Amblyglyphidodon flavilatus,11834,NA,NA
Amblyglyphidodon flavopurpureus,66864,NA,NA
Amblyglyphidodon indicus,61068,NA,NA
Amblyglyphidodon leucogaster,5691,NA,NA
Amblyglyphidodon melanopterus,61069,NA,NA
Amblyglyphidodon orbicularis,61113,NA,NA
Amblyglyphidodon silolona,66865,NA,NA
Amblyglyphidodon ternatensis,5692,NA,NA
Amblygobius albimaculatus,6675,22,30
Amblygobius buanensis,56800,NA,NA
Amblygobius bynoensis,55505,NA,NA
Amblygobius calvatus,68848,NA,NA
Amblygobius cheraphilus,68849,NA,NA
Amblygobius decussatus,7197,22,30
Amblygobius esakiae,27553,NA,NA
Amblygobius linki,6521,NA,NA
Amblygobius magnusi,56463,NA,NA
Amblygobius nocturnus,7243,NA,NA
Amblygobius phalaena,7198,22,30
Amblygobius semicinctus,25417,NA,NA
Amblygobius sewardii,66825,NA,NA
Amblygobius sphynx,7199,NA,NA
Amblygobius stethophthalmus,62722,NA,NA
Amblygobius tekomaji,52957,NA,NA
Amblyotrypauchen arctocephalus,59255,NA,NA
Amblypomacentrus annulatus,12438,NA,NA
Amblypomacentrus breviceps,9721,NA,NA
Amblypomacentrus clarus,61070,NA,NA
Amblypomacentrus kuiteri,61078,NA,NA
Amblypomacentrus tricinctus,6602,NA,NA
Amblypomacentrus vietnamicus,65030,NA,NA
Amblyraja doellojuradoi,54120,NA,NA
Amblyraja frerichsi,54121,NA,NA
Amblyraja georgiana,6953,NA,NA
Amblyraja hyperborea,9256,-1.29,4
Amblyraja jenseni,27757,NA,NA
Amblyraja radiata,2565,-1.3,14
Amblyraja reversa,54089,NA,NA
Amblyraja taaf,6954,NA,NA
Amblyrhynchote honckenii,8071,NA,NA
Ambophthalmos angustus,47425,NA,NA
Ambophthalmos eurystigmatephoros,58216,NA,NA
Ambophthalmos magnicirrus,58288,NA,NA
Amioides polyacanthus,13009,NA,NA
Ammodytes americanus,3820,NA,NA
Ammodytes dubius,3821,NA,NA
Ammodytes heian,70396,NA,NA
Ammodytes hexapterus,3822,NA,NA
Ammodytes marinus,37,NA,NA
Ammodytes personatus,487,NA,NA
Ammodytes tobianus,38,NA,NA
Ammodytoides gilli,46802,NA,NA
Ammodytoides idai,65358,NA,NA
Ammodytoides kanazawai,66971,NA,NA
Ammodytoides kimurai,58287,NA,NA
Ammodytoides leptus,58285,NA,NA
Ammodytoides praematura,65359,NA,NA
Ammodytoides pylei,57467,NA,NA
Ammodytoides renniei,15953,NA,NA
Ammodytoides vagus,58286,NA,NA
Ammodytoides xanthops,65331,NA,NA
Ammolabrus dicrus,59627,NA,NA
Ammotretis brevipinnis,58878,NA,NA
Ammotretis elongatus,14523,NA,NA
Ammotretis lituratus,14524,NA,NA
Ammotretis macrolepis,58881,NA,NA
Amphichthys cryptocentrus,967,NA,NA
Amphichthys rubigenis,53589,NA,NA
Amphiprion akallopisos,8017,NA,NA
Amphiprion akindynos,11959,NA,NA
Amphiprion allardi,11836,22,27
Amphiprion barberi,64181,NA,NA
Amphiprion biaculeatus,6632,NA,NA
Amphiprion bicinctus,11837,NA,NA
Amphiprion chagosensis,11838,NA,NA
Amphiprion chrysogaster,11839,NA,NA
Amphiprion chrysopterus,4551,NA,NA
Amphiprion clarkii,5448,NA,NA
Amphiprion ephippium,11840,NA,NA
Amphiprion frenatus,6522,NA,NA
Amphiprion fuscocaudatus,11842,NA,NA
Amphiprion latezonatus,9206,NA,NA
Amphiprion latifasciatus,11844,NA,NA
Amphiprion leucokranos,9207,NA,NA
Amphiprion mccullochi,9208,NA,NA
Amphiprion melanopus,4654,NA,NA
Amphiprion nigripes,7809,NA,NA
Amphiprion ocellaris,6509,NA,NA
Amphiprion omanensis,11856,NA,NA
Amphiprion pacificus,65761,NA,NA
Amphiprion percula,9209,NA,NA
Amphiprion perideraion,2024,NA,NA
Amphiprion polymnus,8086,NA,NA
Amphiprion rubrocinctus,9212,NA,NA
Amphiprion sandaracinos,6523,NA,NA
Amphiprion sebae,11846,NA,NA
Amphiprion thiellei,11847,24,26
Amphiprion tricinctus,4655,25,NA
Amphistichus argenteus,3622,NA,NA
Amphistichus koelzi,3623,NA,NA
Amphistichus rhodoterus,3624,NA,NA
Amsichthys knighti,14271,NA,NA
Anableps dowii,12295,24,28
Anacanthobatis donghaiensis,54441,NA,NA
Anacanthobatis marmorata,7957,NA,NA
Anacanthobatis nanhaiensis,54439,NA,NA
Anacanthobythites platycephalus,64909,NA,NA
Anacanthobythites tasmaniensis,64910,NA,NA
Anacanthus barbatus,8178,NA,NA
Ancylopsetta antillarum,58946,NA,NA
Ancylopsetta cycloidea,7527,NA,NA
Ancylopsetta dendritica,8225,NA,NA
Ancylopsetta dilecta,4205,NA,NA
Ancylopsetta kumperae,7528,NA,NA
Ancylopsetta microctenus,59553,NA,NA
Ancylopsetta quadrocellata,4206,NA,NA
Andamia amphibius,59609,NA,NA
Andamia cyclocheilus,67068,NA,NA
Andamia expansa,67069,NA,NA
Andamia heteroptera,53821,NA,NA
Andamia pacifica,67070,NA,NA
Andamia reyi,7750,NA,NA
Andamia tetradactylus,23771,NA,NA
Anampses caeruleopunctatus,4888,NA,NA
Anampses chrysocephalus,4919,24,28
Anampses cuvier,4916,NA,NA
Anampses elegans,4918,NA,NA
Anampses femininus,4892,24,28
